_id,IdentificationNumber,Department,Status,DateReported,Date Closed,Category1,Category2,Category3,Category4
1803,2023-0135,Milwaukee Police Department,Open,3/27/2023,,"Competence, 1.10 - FT safeguard Dept. equipment",,,
1804,2023-0136,Milwaukee Police Department,Closed,3/28/2023,07/25/2024,"Respect, 5.01 - FT be civil & courteous","Competence, 1.05 - SOP Citizen Contact, FI's, Search & Seizure","Competence, 1.05 - SOP Bodyworn Camera",
1805,2023-0137,Milwaukee Police Department,Open,3/28/2023,,"Respect, 5.01 - FT treat the public with courtesy & professionalism",,,
1806,2023-0138,Milwaukee Police Department,Closed,3/28/2023,11/28/2023,"Respect, 5.01 - FT treat the public with courtesy & professionalism","Integrity, 3.03 - Improper Search & Seizure",,
1807,2023-0139,Milwaukee Police Department,Closed,3/31/2023,11/14/2023,"Respect, 5.01 - FT treat the public with courtesy & professionalism",,,
1808,2023-0140,Milwaukee Police Department,Closed,3/29/2023,07/15/2024,"Respect, 5.01 - FT treat the public with courtesy & professionalism","Integrity, 3.03 - Improper Search & Seizure","Respect, 5.02 - FT Act W/Fairness, self control, tolerance","Competence, 1.05 - SOP Bodyworn Camera"
1809,2023-0141,Milwaukee Police Department,Open,3/29/2023,,"Integrity, 3.10 - FT be forthright or candid in a report","Competence, 1.05 - SOP Booking Procedures",,
VOID,,VOIDED INCIDENT,,,,,,,
1810,2023-0142,Milwaukee Police Department,Closed,3/29/2023,2/9/2024,"Restraint, 6.01 - Excessive use of force - bodily",,,
VOID,,VOIDED INCIDENT,,,,,,,
1811,2023-0143,Milwaukee Police Department,Closed,3/29/2023,05/28/2024,Unlawful Search,,Unjustified Search,
1812,2023-0144,Milwaukee Police Department,Closed,3/30/2023,10/18/2023,"Integrity, 3.05 - FT CITY - OWI","Integrity, 3.01 - Behavior that could discredit the Dept. ","Integrity, 3.06 - Misuse of official position","Integrity, 3.11 FT be honest & accurate in a report"
1813,2023-0145,Milwaukee Police Department,Closed,3/31/2023,8/7/2023,"Respect, 5.01 - FT be civil & courteous",,,
1814,2023-0146,Milwaukee Police Department,Closed,3/31/2023,6/29/2023,"Competence, 1.04 - FT Fully Investigate",,,
1815,2023-0147,Milwaukee Police Department,Closed,3/31/2023,06/26/2024,"Competence, 1.04 - FT Fully Investigate",,,
1816,2023-0148,Milwaukee Police Department,Closed,3/31/2023,9/23/2023,"Respect, 5.02 - Harass Citizen",,,
VOID,,VOIDED INCIDENT,,,,,,,
1817,2023-0149,Milwaukee Police Department,Closed,3/31/2023,08/08/2024,"Leadership, 4.01 - Respect integrity compassion","Respect, 5.01 - FT treat another member with courtesy & professionalism",,
2023 - Q2,,,,,,,,,
1818,2023-0150,Milwaukee Police Department,Closed,04/03/2023,04/03/2023,Department Services,,,
1819,2023-0151,Milwaukee Police Department,Closed,04/05/2023,04/05/2023,Disparate Treatment,,,
1820,2023-0152,Non-Employee,Closed,04/10/2023,04/10/2023,No Allegation,,,
1821,2023-0153,Non-Employee,Closed,04/13/2023,04/13/2023,No Allegation,,,
1822,2023-0154,Milwaukee Police Department,Closed,04/13/2023,04/13/2023,Department Services,,,
1823,2023-0155,Milwaukee Police Department,Closed,04/19/2023,04/19/2023,Department Services,,,
1824,2023-0156,Milwaukee Police Department,Closed,04/19/2023,04/19/2023,Department Services,,,
1825,2023-0157,Milwaukee Police Department,Closed,04/24/2023,04/24/2023,Department Services,,,
1826,2023-0158,Milwaukee Police Department,Closed,04/25/2023,04/25/2023,Department Services,,,
1827,2023-0159,Milwaukee Police Department,Closed,04/27/2023,04/27/2023,Department Services,,,
1828,2023-0160,District Attorney's Office,Closed,04/27/2023,04/27/2023,No Allegation,,,
1829,2023-0161,Milwaukee Police Department,Closed,05/04/2023,05/04/2023,Disparate Treatment,,,
1830,2023-0162,Milwaukee Fire Department,Closed,05/08/2023,05/08/2023,Department Services,,,
1831,2023-0163,Milwaukee Police Department,Closed,05/08/2023,05/08/2023,Department Services,,,
1832,2023-0164,Milwaukee Fire Department,Closed,05/10/2023,05/10/2023,Disparate Treatment,,,
1833,2023-0165,Milwaukee Police Department,Closed,05/10/2023,05/10/2023,Department Services,,,
1834,2023-0166,Milwaukee Fire Department,Closed,05/10/2023,05/10/2023,Disparate Treatment,,,
1835,2023-0167,Milwaukee Police Department,Closed,05/17/2023,05/17/2023,Department Services,,,
1836,2023-0168,Milwaukee Police Department,Closed,05/08/2023,05/08/2023,No Allegation,,,
1837,2023-0169,Milwaukee Police Department,Closed,05/22/2023,05/22/2023,Department Services,,,
1838,2023-0170,Milwaukee Police Department,Closed,05/11/2023,05/11/2023,Disparate Treatment,,,
1839,2023-0171,Milwaukee Police Department,Closed,05/23/2023,05/23/2023,Department Services,,,
1840,2023-0172,Milwaukee Police Department,Closed,05/23/2023,05/23/2023,Department Services,,,
1841,2023-0173,Milwaukee Police Department,Closed,05/24/2023,05/24/2023,Department Services,,,
1842,2023-0174,Milwaukee Police Department,Closed,05/24/2023,05/24/2023,No Allegation,,,
1843,2023-0175,Milwaukee Fire Department,Closed,05/24/2023,05/24/2023,Department Services,,,
1844,2023-0176,Milwaukee Police Department,Closed,05/30/2023,05/30/2023,Disparate Treatment,,Race Based Traffic Stop,Unjustified Traffic Stop
1845,2023-0177,Milwaukee Police Department,Closed,05/30/2023,05/30/2023,Department Services,,,
1846,2023-0178,Milwaukee Police Department,Closed,05/30/2023,05/30/2023,Disparate Treatment,,,
1847,2023-0179,Milwaukee Police Department,Closed,05/30/2023,05/30/2023,Department Services,,,
1848,2023-0180,Milwaukee Police Department,Closed,6/2/2023,6/2/2023,Department Procedures,Department Services,,
1849,2023-0181,Milwaukee Police Department,Closed,6/5/2023,6/5/2023,Department Procedures,Department Services,,
1850,2023-0182,Milwaukee Police Department,Closed,6/5/2023,6/5/2023,Disparate Treatment,,,
1851,2023-0183,Milwaukee Police Department,Closed,6/12/2023,6/12/2023,Department Services,,,
1852,2023-0184,Milwaukee Police Department,Closed,6/12/2023,6/12/2023,Department Services,,,
1853,2023-0185,Milwaukee Police Department,Closed,6/9/2023,6/9/2023,Department Services,,,
1854,2023-0186,Milwaukee Police Department,Closed,6/14/2023,7/13/2023,Department Services,,,
1855,2023-0187,Milwaukee Police Department,Closed,6/20/2023,7/18/2023,Department Services,,,
1856,2023-0188,Milwaukee Police Department,Closed,6/21/2023,6/26/2023,Department Services,,,
1857,2023-0189,Milwaukee Police Department,Closed,6/21/2023,7/18/2023,No Allegation,,,
1858,2023-0190,Milwaukee Police Department,Closed,6/21/2023,6/21/2023,Use of Force,,,
1859,2023-0191,Milwaukee Police Department,Closed,6/23/2023,7/28/2023,No Allegation,,,
1860,2023-0192,Milwaukee Police Department,Closed,6/23/2023,7/19/2023,Department Services,,,
1861,2023-0193,Milwaukee Fire Department,Closed,6/26/2023,7/11/2023,Department Services,,,
1862,2023-0194,Milwaukee Police Department,Closed,6/26/2023,6/26/2023,No Allegation,,,
1863,2023-0195,Milwaukee Police Department,Closed,6/29/2023,7/24/2023,No Allegation,,,
1864,2023-0196,Milwaukee Police Department,Closed,6/29/2023,8/8/2023,Department Services,,,
1865,2023-0197,Milwaukee Police Department,Closed,6/29/2023,6/29/2023,No Allegation,,,
1866,2023-0198,Non-Employee,Closed,6/30/2023,8/17/2023,No Allegation,,,
1867,2023-0199,Milwaukee Police Department,Closed,6/30/2023,8/17/2023,Department Services,,,
1868,2023-0200,Non-Employee,Closed,5/18/2023,5/18/2023,No Allegation,,,
1869,2023-0201,Milwaukee Police Department,Closed,4/3/2023,8/29/2023,"Respect, 5.01 - FT treat the public with courtesy & professionalism",,,
1870,2023-0202,Milwaukee Police Department,Open,4/4/2023,,"Competence, 1.04 - FT Fully Investigate",,,
1871,2023-0203,Milwaukee Police Department,Closed,4/5/2023,9/27/2023,"Respect, 5.01 - FT treat the public with courtesy & professionalism",,,
1872,2023-0204,Milwaukee Police Department,Open,4/5/2023,,"Leadership, 4.05 - FT maintain professional standards through the provision of advice and guidance","Respect, 5.02 - FT Act W/Fairness, self control, tolerance, or impartiality",,
1873,2023-0205,Milwaukee Police Department,Closed,4/5/2023,8/19/2024,"Integrity, 3.01 - Behavior that could discredit the Dept. ",,,
1874,2023-0206,Milwaukee Police Department,Open,4/10/2023,,"Competence, 1.06 - Late for duty",,,
1875,2023-0207,Milwaukee Police Department,Open,4/10/2023,,"Competence, 1.04 - FT Fully Investigate",,,
1876,2023-0208,Milwaukee Police Department,Open,4/10/2023,,"Competence, 1.05 - SOP Off Duty, Extra-Duty and Special Event Employment",,,
1877,2023-0209,Milwaukee Police Department,Closed,4/10/2023,8/17/2023,"Competence, 1.05 - SOP Off Duty, Extra-Duty and Special Event Employment",,,
1878,2023-0210,Milwaukee Police Department,Open,4/10/2023,,"Respect, 5.01 - FT treat a supervisor with courtesy & professionalism",,,
1879,2023-0211,Milwaukee Police Department,Open,4/11/2023,,"Integrity, 3.01 - Behavior that could discredit the Dept. ","Integrity, 3.05 - FT CITY - OWI",,
1880,2023-0212,Milwaukee Police Department,Closed,4/12/2023,7/13/2023,"Competence, 1.05 - SOP FT Inventory Property",,,
1881,2023-0213,Milwaukee Police Department,Closed,4/17/2023,5/7/2024,"Competence, 1.05 - SOP Absence",,,
1882,2023-0214,Milwaukee Police Department,Closed,4/17/2023,9/23/2023,"Respect, 5.01 - FT treat the public with courtesy & professionalism",,,
1883,2023-0215,Milwaukee Police Department,Open,4/17/2023,,"Competence, 1.04 - FT Fully Investigate","Competence, 1.05 - SOP Domestic Violence",,
1884,2023-0216,Milwaukee Police Department,Closed,4/18/2023,3/1/2024,"Competence, 1.04 - FT Fully Investigate",,,
1885,2023-0217,Milwaukee Police Department,Closed,4/18/2023,6/19/2024,"Integrity, 3.01 - Behavior that could discredit the Dept. ","Leadership, 4.01 - fT set an example",,
1886,2023-0218,Milwaukee Police Department,Closed,4/18/2023,9/2/2024,"Restraint, 6.01 - Excessive use of force - handcuffs",,,
VOID,,VOIDED INCIDENT,,,,,,,
VOID,,VOIDED INCIDENT,,,,,,,
1887,2023-0219,Milwaukee Police Department,Open,4/20/2023,,"Competence, 1.06 - Late for duty",,,
1888,2023-0220,Milwaukee Police Department,Closed,4/20/2023,9/9/2023,"Competence, 1.05 - SOP Prisoners",,,
VOID,,VOIDED INCIDENT,,,,,,,
1889,2023-0221,Milwaukee Police Department,Open,4/24/2023,,"Competence, 1.10 - FT safeguard Dept. equipment",,,
1890,2023-0222,Milwaukee Police Department,Closed,4/24/2023,3/8/2024,"Integrity, 3.05 - FT CITY - THEFT",,,
1891,2023-0223,Milwaukee Police Department,Closed,4/24/2023,9/23/2023,"Competence, 1.04 - FT Fully Investigate",,,
1892,2023-0224,Milwaukee Police Department,Closed,4/26/2023,9/27/2023,"Integrity, 3.00",,,
1893,2023-0225,Milwaukee Police Department,Open,4/26/2023,,"Integrity, 3.04 - FT Treat Dept. Info as Confidential","Competence, 1.03 - Idling & Loafing","Integrity, 3.01 - Behavior that could discredit the Dept. ","Competence, 1.05 - SOP Written Department Directives"
1894,2023-0226,Milwaukee Police Department,Closed,4/26/2023,3/8/2024,"Integrity, 3.04 - FT Treat Dept. Info as Confidential",,,
1895,2023-0227,Milwaukee Police Department,Open,4/27/2023,,"Competence, 1.06 - Absence",,,
1896,2023-0228,Milwaukee Police Department,Closed,4/27/2023,3/19/2024,"Respect, 5.01 - FT treat the public with courtesy & professionalism",,,
1897,2023-0229,Milwaukee Police Department,Open,4/28/2023,,"Competence, 1.05 - Public Information Policy",,,
1898,2023-0230,Milwaukee Police Department,Closed,4/28/2023,8/26/2024,"Integrity, 3.01 - Behavior that could discredit the Dept. ","Integrity, 3.06","Leadership, 4.01 - FT set an example","Competence, 1.05  "
1899,2023-0231,Milwaukee Police Department,Open,5/1/2023,,"Integrity, 3.03",,,Unjustified Search
1900,2023-0232,Milwaukee Police Department,Closed,5/2/2023,8/30/2023,"Competence, 1.03 - Idling & Loafing",,,
1901,2023-0233,Milwaukee Police Department,Open,5/2/2023,,"Competence, 1.04 - FT Fully Investigate",,,
DUP,,CLOSED - DUPLICATE RECORD,,,,,,,
1902,2023-0234,Milwaukee Police Department,Closed,5/4/2023,3/22/2024,"Competence, 1.05 - SOP Prisoners and Booking",,,
1903,2023-0235,Milwaukee Police Department,Open,5/4/2023,,"Competence, 1.05 - SOP Prisoner - Escape",,,
1904,2023-0236,Milwaukee Police Department,Closed,5/4/2023,8/24/2024,"Competence, 1.05 - SOP Prisoners   ","Integrity, 3.11 - Untruthfulness",,
1905,2023-0237,Milwaukee Police Department,Closed,5/8/2023,11/8/2023,"Competence, 1.05 - SOP Absence - Sick Leave Procedures",,,
1906,2023-0238,Milwaukee Police Department,Closed,5/8/2023,8/6/2024,"Restraint, 6.01 - Excessive Force - Firearm",,,
1907,2023-0239,Milwaukee Police Department,Closed,5/8/2023,3/26/2024,"Restraint, 6.01 - Excessive Force - Firearm",,,
1908,2023-0240,Milwaukee Police Department,Closed,4/26/2023,2/2/2024,"Respect, 5.02 - Harass Citizen",,,
1909,2023-0241,Milwaukee Police Department,Closed,5/10/2023,6/19/2024,"Integrity, 3.04 - FT Treat Dept. Info as Confidential",,,
1910,2023-0242,Milwaukee Police Department,Open,5/11/2023,,"Competence, 1.06 - Late for duty",,,
1911,2023-0243,Milwaukee Police Department,Open,5/11/2023,,"Competence, 1.00",,,
1912,2023-0244,Milwaukee Police Department,Open,5/11/2023,,"Competence, 1.04 - FT Fully Investigate",,,
1913,2023-0245,Milwaukee Police Department,Closed,5/12/2023,6/12/2024,"Integrity, 3.01 - Behavior that could discredit the Dept.","Integrity, 3.05 - FT CITY - DISORDERLY CONDUCT",,
1914,2023-0246,Milwaukee Police Department,Closed,5/16/2023,6/26/2023,"Respect, 5.01 - FT treat the public with courtesy & professionalism",,,
1915,2023-0247,Milwaukee Police Department,Closed,5/16/2023,12/7/2023,"Competence, 1.05 - SOP Dept Owned Vehicles",,,
1916,2023-0248,Milwaukee Police Department,Closed,5/17/2023,10/4/2023,"Competence, 1.04 - FT Fully Investigate",,,
1917,2023-0249,Milwaukee Police Department,Closed,4/19/2023,3/13/2024,"Competence, 1.04 - FT Fully Investigate","Competence, 1.05 - SOP Bodyworn Camera",,
1918,2023-0250,Milwaukee Police Department,Closed,5/17/2023,9/12/2023,"Competence, 1.03 - FT render service promptly & efficiently",,,
1919,2023-0251,Milwaukee Police Department,Open,5/17/2023,,"Competence, 1.04 - FT Fully Investigate",,,
1920,2023-0252,Milwaukee Police Department,Closed,5/17/2023,1/3/2024,"Respect, 5.01 - FT treat the public with courtesy & professionalism",,,
1921,2023-0253,Milwaukee Police Department,Closed,5/17/2023,3/26/2024,"Competence, 1.05",,,
1922,2023-0254,Milwaukee Police Department,Closed,5/17/2023,2/2/2024,"Competence, 1.05 - SOP Prisoner - Searching Of",,,
1923,2023-0255,Milwaukee Police Department,Closed,5/18/2023,9/29/2023,"Respect, 5.01 - FT be civil & courteous",,,
1924,2023-0256,Milwaukee Police Department,Open,5/18/2023,,"Competence, 1.05 - SOP Towing Procedures","Leadership, 4.04 - FT ensure subordinates carry out duties",,
1925,2023-0257,Milwaukee Police Department,Open,5/18/2023,,"Respect, 5.01 - FT be civil & courteous",,,
1926,2023-0258,Milwaukee Police Department,Closed,5/19/2023,7/25/2023,"Competence, 1.04 - Unfair Citation",,,
1927,2023-0259,Milwaukee Police Department,Open,5/19/2023,,"Competence, 1.04 - FT Fully Investigate",,,
1928,2023-0260,Milwaukee Police Department,Open,5/22/2023,,"Integrity, 3.05 - FT CITY - DISORDERLY CONDUCT",,,
1929,2023-0261,Milwaukee Police Department,Open,5/22/2023,,"Competence, 1.04 - FT Fully Investigate","Respect, 5.01 - FT treat the public with courtesy & professionalism",,
1930,2023-0262,Milwaukee Police Department,Open,5/22/2023,,"Integrity, 3.05 - FT CITY - OWI","Integrity, 3.01 - Behavior that could discredit the Dept. ",,
1931,2023-0263,Milwaukee Police Department,Closed,5/25/2023,12/3/2023,"Respect, 5.01 - FT be civil & courteous",,,
1932,2023-0264,Milwaukee Police Department,Open,5/25/2023,,"Competence, 1.04 - FT Fully Investigate",,,
1933,2023-0265,Milwaukee Police Department,Closed,5/26/2023,4/3/2024,"Integrity, 3.06 - Misuse of official position",,,
1934,2023-0266,Milwaukee Police Department,Closed,5/30/2023,10/5/2023,"Respect, 5.01 - FT be civil & courteous",,,
1935,2023-0267,Milwaukee Police Department,Closed,5/30/2023,5/8/2024,"Integrity, 3.01 - Behavior that could discredit the Dept. ",,,
1936,2023-0268,Milwaukee Police Department,Open,6/1/2023,,"Competence, 1.07 - FT appear court",,,
1937,2023-0269,Milwaukee Police Department,Closed,5/30/2023,7/11/2024,"Competence, 1.05",,,
1938,2023-0270,Milwaukee Police Department,Open,6/5/2023,,"Integrity, 3.03 - Improper Search & Seizure",,,Unjustified Search
1939,2023-0271,Milwaukee Police Department,Open,6/5/2023,,"Respect, 5.01 - FT be civil & courteous",,,
1940,2023-0272,Milwaukee Police Department,Open,6/5/2023,,"Integrity, 3.00",,,
1941,2023-0273,Milwaukee Police Department,Closed,6/5/2023,3/8/2024,"Integrity, 3.10 - FT be forthright or candid",,,
1942,2023-0274,Milwaukee Police Department,Open,6/5/2023,,"Competence, 1.00",,,
1943,2023-0275,Milwaukee Police Department,Closed,6/5/2023,8/31/2023,"Restraint, 6.01 - Excessive use of force - Bodily",,,
1944,2023-0276,Milwaukee Police Department,Closed,6/6/2023,8/17/2024,"Competence, 1.05 - F/T Know Dept Policy/Procedure","Competence, 1.04 - FT Fully Investigate","Leadership, 4.04 - FT ensure subordinates carry out duties",
1945,2023-0277,Milwaukee Police Department,Open,6/6/2023,,"Integrity, 3.05","Respect, 5.01 - FT treat another member with courtesy & professionalism",,
1946,2023-0278,Milwaukee Police Department,Open,6/6/2023,,"Competence, 1.06 - Late for duty",,,
VOID,,VOIDED INCIDENT,,,,,,,
1947,2023-0279,Milwaukee Police Department,Closed,6/7/2023,10/5/2023,"Integrity, 3.00",,,
1948,2023-0280,Milwaukee Police Department,Closed,6/7/2023,9/27/2023,"Respect, 5.02 - FT Act W/Fairness, self control, tolerance or impartiality",,,
1949,2023-0281,Milwaukee Police Department,Closed,6/8/2023,4/29/2024,"Competence, 1.03 - FT render service promptly & efficiently",,,
1950,2023-0282,Milwaukee Police Department,Closed,6/8/2023,5/8/2024,"Integrity, 3.01 - Behavior that could discredit the Dept. ",,,
1951,2023-0283,Milwaukee Police Department,Open,6/12/2023,,"Integrity, 3.00",,,
1952,2023-0284,Milwaukee Police Department,Closed,6/13/2023,8/8/2024,"Integrity, 3.05 - FT STATE 1ST DEG SEXUAL ASSAULT",,,
1953,2023-0285,Milwaukee Police Department,Open,6/13/2023,,"Competence, 1.05 - SOP Absence - Sick Leave Procedures",,,
1954,2023-0286,Milwaukee Police Department,Open,6/13/2023,,"Competence, 1.04 - FT Fully Investigate","Respect, 5.01 - FT be civil & courteous","Competence, 1.05 - SOP Bodyworn Camera",
1955,2023-0287,Milwaukee Police Department,Open,6/14/2023,,"Competence, 1.05 - SOP Squad Accident",,,
VOID,,VOIDED INCIDENT,,,,,,,
1956,2023-0288,Milwaukee Police Department,Closed,6/15/2023,9/29/2023,"Respect, 5.02 - FT Act W/Fairness, self control, tolerance or impartiality",,,
VOID,,VOIDED INCIDENT,,,,,,,
1957,2023-0289,Milwaukee Police Department,Open,6/14/2023,,"Integrity, 3.00","Competence, 1.04 - FT Fully Investigate",,
1958,2023-0290,Milwaukee Police Department,Closed,6/202023,12/13/2023,"Integrity, 3.05 - FT STATE CHILD NEGLECT",,,
1959,2023-0291,Milwaukee Police Department,Closed,6/202023,5/20/2024,"Integrity, 3.10",,,
1960,2023-0292,Milwaukee Police Department,Open,6/202023,,"Respect, 5.03 - FT obey an order","Competence, 1.06 - Late for duty",,
1961,2023-0293,Milwaukee Police Department,Closed,6/22/2023,11/24/2023,"Respect, 5.01 - FT be civil & courteous",,,
1962,2023-0294,Milwaukee Police Department,Closed,6/22/2023,11/23/2023,"Respect, 5.01 - FT be civil & courteous",,,
1963,2023-0295,Milwaukee Police Department,Closed,6/23/2023,1/10/2024,"Integrity, 3.01 - Behavior that could discredit the Dept. ",,,
1964,2023-0296,Milwaukee Police Department,Open,6/26/2023,,"Competence, 1.04","Competence, 1.05",,
1965,2023-0297,Milwaukee Police Department,Closed,6/26/2023,11/17/2023,"Competence, 1.04 - FT Fully Investigate",,,
1966,2023-0298,Milwaukee Police Department,Open,6/27/2023,,"Competence, 1.04",,,
1967,2023-0299,Milwaukee Police Department,Closed,6/28/2023,12/29/2023,"Respect, 5.01 - FT treat a supervisor with courtesy & professionalism",,,
1968,2023-0300,Milwaukee Police Department,Closed,6/28/2023,7/24/2024,"Restraint, 6.01 - Excessive use of force - bodily","Integrity, 3.03 - Improper Search & Seizure","Competence, 1.05 - SOP Bodyworn Camera",
1969,2023-0301,Milwaukee Police Department,Closed,6/30/2023,9/29/2023,"Respect, 5.02 - Racial Profiling",,Unjustified Traffic Stop,Race-based Traffic Stop
2023 - Q3,,,,,,,,,
1970,2023-0302,Milwaukee Police Department,Closed,7/3/2023,7/27/2023,Department Services,,,
1971,2023-0303,Milwaukee Police Department,Closed,7/3/2023,7/7/2023,Department Services,,,
1972,2023-0304,Non-Employee,Closed,7/3/2023,7/7/2023,No Allegation,,,
1973,2023-0305,Milwaukee Police Department,Closed,7/12/2023,7/20/2023,Department Services,,,
1974,2023-0306,Milwaukee Police Department,Closed,7/13/2023,7/24/2023,Department Services,,,
1975,2023-0307,Milwaukee Police Department,Closed,7/17/2023,8/16/2023,Department Procedures,,,
1976,2023-0308,Milwaukee Police Department,Closed,7/17/2023,7/28/2023,Department Services,,,
1977,2023-0309,Milwaukee Police Department,Closed,7/3/2023,7/27/2023,Department Services,Department Procedures,,
1978,2023-0310,Milwaukee Police Department,Closed,7/24/2023,7/28/2023,No Allegation,,,
1979,2023-0311,Milwaukee Police Department,Closed,7/24/2023,7/28/2023,Department Services,,Unjustified Search,
1980,2023-0312,Milwaukee Police Department,Closed,7/25/2023,8/2/2023,Department Services,,,
1981,2023-0313,Milwaukee Police Department,Closed,7/25/2023,8/9/2023,Department Services,,,
1982,2023-0314,Milwaukee Police Department,Closed,7/25/2023,8/9/2023,Disparate Treatment,,,
1983,2023-0315,Milwaukee Police Department,Closed,7/26/2023,8/10/2023,Department Services,,,
1984,2023-0316,Milwaukee Police Department,Closed,7/26/2023,8/16/2023,Department Services,,,
1985,2023-0317,Milwaukee Police Department,Closed,7/27/2023,9/19/2023,Department Services,,,
1986,2023-0318,Non-Employee,Closed,8/4/2023,8/10/2023,No Allegation,,,
1987,2023-0319,Milwaukee Police Department,Closed,8/4/2023,8/17/2023,Department Services,,,
1988,2023-0320,Non-Employee,Closed,8/7/2023,8/28/2023,No Allegation,,,
1989,2023-0321,Milwaukee Police Department,Closed,8/8/2023,10/5/2023,Department Services,,,
1990,2023-0322,Non-Employee,Closed,8/9/2023,8/10/2023,No Allegation,,,
1991,2023-0323,Non-Employee,Closed,8/10/2023,8/11/2023,No Allegation,,,
1992,2023-0324,Non-Employee,Closed,8/10/2023,8/24/2023,No Allegation,,,
1993,2023-0325,Milwaukee Police Department,Closed,8/14/2023,8/28/2023,Department Services,,,
1994,2023-0326,Milwaukee Police Department,Closed,8/16/2023,10/3/2023,Department Services,,,
1995,2023-0327,Milwaukee Police Department,Closed,8/16/2023,8/31/2023,Disparate Treatment,,,
1996,2023-0328,Milwaukee Police Department,Closed,8/18/2023,10/11/2023,Department Procedures,,Unjustified Search,
1997,2023-0329,Milwaukee Police Department,Closed,8/18/2023,9/6/2023,Department Services,,,
1998,2023-0330,Milwaukee Police Department,Closed,8/16/2023,9/20/2023,Department Services,,,
1999,2023-0331,Non-Employee,Closed,8/24/2023,8/25/2023,No Allegation,,,
2000,2023-0332,Milwaukee Fire Department,Closed,8/29/2023,9/7/2023,No Allegation,,,
2001,2023-0333,Milwaukee Fire Department,Closed,8/30/2023,9/7/2023,Department Procedures,Department Services,,
2002,2023-0334,Milwaukee Police Department,Closed,8/31/2023,9/8/2023,Department Services,,,
2003,2023-0335,Milwaukee Fire Department,Closed,9/5/2023,9/27/2023,Department Services,,,
2004,2023-0336,Milwaukee Police Department,Closed,9/6/2023,9/13/2023,Department Services,,,
2005,2023-0337,Milwaukee Police Department,Closed,9/7/2023,9/20/2023,Department Services,,,
2006,2023-0338,Milwaukee Police Department,Closed,9/11/2023,9/21/2023,Department Services,,,
2007,2023-0339,Milwaukee Police Department,Closed,9/12/2023,9/22/2023,Department Services,,,
2008,2023-0340,Milwaukee Police Department,Closed,9/13/2023,9/29/2023,Discourtesy,,,
2009,2023-0341,Milwaukee Police Department,Closed,9/13/2023,9/26/2023,Use of Force,,,
2010,2023-0342,Milwaukee Police Department,Closed,9/14/2023,11/16/2023,Department Services,,,
2011,2023-0343,Non-Employee,Closed,9/20/2023,9/25/2023,No Allegation,,,
2012,2023-0344,Milwaukee Police Department,Closed,9/25/2023,10/9/2023,Department Services,Disparate Treatment,,
2013,2023-0345,Non-Employee,Closed,9/25/2023,9/25/2023,No Allegation,Unjustified Traffic Stop,,
2014,2023-0346,Non-Employee,Closed,9/25/2023,9/28/2023,No Allegation,,,
2015,2023-0347,Milwaukee Police Department,Closed,9/19/2023,10/10/2023,Department Services,Unjustified Search,,
2016,2023-0348,Milwaukee Police Department,Closed,7/3/2023,9/29/2023,"Respect, 5.01 - FT treat the public with courtesy & professionalism",,,
2017,2023-0349,Milwaukee Police Department,Open,7/3/2023,,"Respect, 5.00",,,
2018,2023-0350,Milwaukee Police Department,Closed,7/3/2023,4/3/2024,"Competence, 1.05 - SOP Prisoners and Booking",,,
2019,2023-0351,Milwaukee Police Department,Closed,7/4/2023,7/24/2024,"Restraint, 6.01 - Excessive use of force - bodily",,,
2020,2023-0352,Milwaukee Police Department,Closed,7/4/2023,7/23/2024,"Competence, 1.04 - FT Fully Investigate",,,
2021,2023-0353,Milwaukee Police Department,Closed,7/5/2023,1/24/2024,"Integrity, 3.00",,,
2022,2023-0354,Milwaukee Police Department,Open,7/5/2023,,"Integrity, 3.10 - FT be forthright or candid","Integrity, 3.03 - Unfair Arrest","Competence, 1.04 - FT Fully Investigate",
2023,2023-0355,Milwaukee Police Department,Closed,7/6/2023,3/4/2024,"Competence, 1.04 - FT Fully Investigate",,,
2024,2023-0356,Milwaukee Police Department,Closed,7/10/2023,7/15/2024,"Integrity, 3.03 - Unfair Arrest",,,
2025,2023-0357,Milwaukee Police Department,Closed,7/11/2023,2/13/2024,"Competence, 1.04 - FT Fully Investigate","Competence, 1.03 - Slow response for service","Competence, 1.05 - SOP Communications",
2026,2023-0358,Milwaukee Police Department,Open,7/11/2023,,"Competence, 1.04 - FT Fully Investigate",,,
2027,2023-0359,Milwaukee Police Department,Open,7/10/2023,,"Competence, 1.06 - AWOL",,,
2028,2023-0360,Milwaukee Police Department,Closed,7/11/2023,1/5/2024,"Competence, 1.05 - Rank Structure of the Milwaukee Police Department",,,
2029,2023-0361,Milwaukee Police Department,Closed,7/10/2023,12/12/2023,"Integrity, 3.10 - Filing False Reports","Integrity, 3.11 - Untruthfulness","Competence, 1.05 - SOP Absence",
2030,2023-0362,Milwaukee Police Department,Closed,7/12/2023,4/2/2024,"Respect, 5.01 - FT treat the public with courtesy & professionalism","Competence, 1.04 - FT File Reports",,
2031,2023-0363,Milwaukee Police Department,Closed,7/12/2023,8/21/2024,"Competence, 1.05 - SOP Citizen Contact, FI's, Search & Seizure",,,
2032,2023-0364,Milwaukee Police Department,Closed,7/13/2023,12/4/2023,"Competence, 1.04 - FT File Reports",,,
2033,2023-0365,Milwaukee Police Department,Closed,7/13/2023,6/5/2024,"Competence, 1.04 - FT Fully Investigate","Competence, 1.05 - SOP Property",,
